"epoch","E_org_k5_rel_svo2080_YJ_20231126T022552 - _step","E_org_k5_rel_svo2080_YJ_20231126T022552 - _step__MIN","E_org_k5_rel_svo2080_YJ_20231126T022552 - _step__MAX","E_org_k5_rel_svo2080_YJ_20231126T022552 - val_avg_reward","E_org_k5_rel_svo2080_YJ_20231126T022552 - val_avg_reward__MIN","E_org_k5_rel_svo2080_YJ_20231126T022552 - val_avg_reward__MAX","E_rel_k5_rel_svo2080_YJ_20231126T022438 - _step","E_rel_k5_rel_svo2080_YJ_20231126T022438 - _step__MIN","E_rel_k5_rel_svo2080_YJ_20231126T022438 - _step__MAX","E_rel_k5_rel_svo2080_YJ_20231126T022438 - val_avg_reward","E_rel_k5_rel_svo2080_YJ_20231126T022438 - val_avg_reward__MIN","E_rel_k5_rel_svo2080_YJ_20231126T022438 - val_avg_reward__MAX","E_org_svo2080_YJ_20231125T172437 - _step","E_org_svo2080_YJ_20231125T172437 - _step__MIN","E_org_svo2080_YJ_20231125T172437 - _step__MAX","E_org_svo2080_YJ_20231125T172437 - val_avg_reward","E_org_svo2080_YJ_20231125T172437 - val_avg_reward__MIN","E_org_svo2080_YJ_20231125T172437 - val_avg_reward__MAX","E_rel_svo2080_YJ_20231125T172153 - _step","E_rel_svo2080_YJ_20231125T172153 - _step__MIN","E_rel_svo2080_YJ_20231125T172153 - _step__MAX","E_rel_svo2080_YJ_20231125T172153 - val_avg_reward","E_rel_svo2080_YJ_20231125T172153 - val_avg_reward__MIN","E_rel_svo2080_YJ_20231125T172153 - val_avg_reward__MAX","ref_k0_E_svo1080_YJ_20231122T194348 - _step","ref_k0_E_svo1080_YJ_20231122T194348 - _step__MIN","ref_k0_E_svo1080_YJ_20231122T194348 - _step__MAX","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward__MIN","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward__MAX"
"38","1988","1988","1988","3.6292006969451904","3.6292006969451904","3.6292006969451904","1988","1988","1988","3.747589349746704","3.747589349746704","3.747589349746704","1988","1988","1988","3.702903985977173","3.702903985977173","3.702903985977173","1988","1988","1988","3.784012794494629","3.784012794494629","3.784012794494629","1988","1988","1988","4.420109272003174","4.420109272003174","4.420109272003174"
"39","2039","2039","2039","3.616060972213745","3.616060972213745","3.616060972213745","2039","2039","2039","3.7372844219207764","3.7372844219207764","3.7372844219207764","2039","2039","2039","3.709651470184326","3.709651470184326","3.709651470184326","2039","2039","2039","3.7657980918884277","3.7657980918884277","3.7657980918884277","2039","2039","2039","4.404331684112549","4.404331684112549","4.404331684112549"
"40","2090","2090","2090","3.616720676422119","3.616720676422119","3.616720676422119","2090","2090","2090","3.73018741607666","3.73018741607666","3.73018741607666","2090","2090","2090","3.7113959789276123","3.7113959789276123","3.7113959789276123","2090","2090","2090","3.747755765914917","3.747755765914917","3.747755765914917","2090","2090","2090","4.4102325439453125","4.4102325439453125","4.4102325439453125"
"41","2141","2141","2141","3.6137797832489014","3.6137797832489014","3.6137797832489014","2141","2141","2141","3.722205877304077","3.722205877304077","3.722205877304077","2141","2141","2141","3.7152881622314453","3.7152881622314453","3.7152881622314453","2141","2141","2141","3.7591030597686768","3.7591030597686768","3.7591030597686768","2141","2141","2141","4.415145397186279","4.415145397186279","4.415145397186279"
"42","2192","2192","2192","3.612790584564209","3.612790584564209","3.612790584564209","2192","2192","2192","3.727627754211426","3.727627754211426","3.727627754211426","2192","2192","2192","3.711639881134033","3.711639881134033","3.711639881134033","2192","2192","2192","3.7400054931640625","3.7400054931640625","3.7400054931640625","2192","2192","2192","4.405282020568848","4.405282020568848","4.405282020568848"
"43","2243","2243","2243","3.610321521759033","3.610321521759033","3.610321521759033","2243","2243","2243","3.717921495437622","3.717921495437622","3.717921495437622","2243","2243","2243","3.7053797245025635","3.7053797245025635","3.7053797245025635","2243","2243","2243","3.7521543502807617","3.7521543502807617","3.7521543502807617","2243","2243","2243","4.404838562011719","4.404838562011719","4.404838562011719"
"44","2294","2294","2294","3.6111268997192383","3.6111268997192383","3.6111268997192383","2294","2294","2294","3.7287042140960693","3.7287042140960693","3.7287042140960693","2294","2294","2294","3.6946866512298584","3.6946866512298584","3.6946866512298584","2294","2294","2294","3.759425401687622","3.759425401687622","3.759425401687622","2294","2294","2294","4.408607006072998","4.408607006072998","4.408607006072998"
"45","2345","2345","2345","3.605184316635132","3.605184316635132","3.605184316635132","2345","2345","2345","3.705928087234497","3.705928087234497","3.705928087234497","2345","2345","2345","3.7005398273468018","3.7005398273468018","3.7005398273468018","2345","2345","2345","3.7376015186309814","3.7376015186309814","3.7376015186309814","2345","2345","2345","4.4065656661987305","4.4065656661987305","4.4065656661987305"
"46","2396","2396","2396","3.5956413745880127","3.5956413745880127","3.5956413745880127","2396","2396","2396","3.71722149848938","3.71722149848938","3.71722149848938","2396","2396","2396","3.69058895111084","3.69058895111084","3.69058895111084","2396","2396","2396","3.739071846008301","3.739071846008301","3.739071846008301","2396","2396","2396","4.408614635467529","4.408614635467529","4.408614635467529"
"47","2447","2447","2447","3.6037211418151855","3.6037211418151855","3.6037211418151855","2447","2447","2447","3.7131309509277344","3.7131309509277344","3.7131309509277344","2447","2447","2447","3.683412790298462","3.683412790298462","3.683412790298462","2447","2447","2447","3.740781307220459","3.740781307220459","3.740781307220459","2447","2447","2447","4.405929088592529","4.405929088592529","4.405929088592529"
