"epoch","E_org_k5_rel_svoA5k_YJ_20231126T024853 - _step","E_org_k5_rel_svoA5k_YJ_20231126T024853 - _step__MIN","E_org_k5_rel_svoA5k_YJ_20231126T024853 - _step__MAX","E_org_k5_rel_svoA5k_YJ_20231126T024853 - val_avg_reward","E_org_k5_rel_svoA5k_YJ_20231126T024853 - val_avg_reward__MIN","E_org_k5_rel_svoA5k_YJ_20231126T024853 - val_avg_reward__MAX","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - _step","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - _step__MIN","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - _step__MAX","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - val_avg_reward","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - val_avg_reward__MIN","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - val_avg_reward__MAX","E_rel_svoA5k_YJ_20231125T173135 - _step","E_rel_svoA5k_YJ_20231125T173135 - _step__MIN","E_rel_svoA5k_YJ_20231125T173135 - _step__MAX","E_rel_svoA5k_YJ_20231125T173135 - val_avg_reward","E_rel_svoA5k_YJ_20231125T173135 - val_avg_reward__MIN","E_rel_svoA5k_YJ_20231125T173135 - val_avg_reward__MAX","E_org_svoA5k_YJ_20231125T173038 - _step","E_org_svoA5k_YJ_20231125T173038 - _step__MIN","E_org_svoA5k_YJ_20231125T173038 - _step__MAX","E_org_svoA5k_YJ_20231125T173038 - val_avg_reward","E_org_svoA5k_YJ_20231125T173038 - val_avg_reward__MIN","E_org_svoA5k_YJ_20231125T173038 - val_avg_reward__MAX","k0_rel_svoA5k_YJ_20231123T021820 - _step","k0_rel_svoA5k_YJ_20231123T021820 - _step__MIN","k0_rel_svoA5k_YJ_20231123T021820 - _step__MAX","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward__MIN","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward__MAX"
"41","2141","2141","2141","8.987648010253906","8.987648010253906","8.987648010253906","2141","2141","2141","9.279590606689453","9.279590606689453","9.279590606689453","2141","2141","2141","9.100830078125","9.100830078125","9.100830078125","2141","2141","2141","9.005066871643066","9.005066871643066","9.005066871643066","2141","2141","2141","9.484153747558594","9.484153747558594","9.484153747558594"
"42","2192","2192","2192","9.003363609313965","9.003363609313965","9.003363609313965","2192","2192","2192","9.262130737304688","9.262130737304688","9.262130737304688","2192","2192","2192","9.109098434448242","9.109098434448242","9.109098434448242","2192","2192","2192","9.062821388244629","9.062821388244629","9.062821388244629","2192","2192","2192","9.50068187713623","9.50068187713623","9.50068187713623"
"43","2243","2243","2243","8.975164413452148","8.975164413452148","8.975164413452148","2243","2243","2243","9.238600730895996","9.238600730895996","9.238600730895996","2243","2243","2243","9.104253768920898","9.104253768920898","9.104253768920898","2243","2243","2243","9.087655067443848","9.087655067443848","9.087655067443848","2243","2243","2243","9.49677562713623","9.49677562713623","9.49677562713623"
"44","2294","2294","2294","8.963436126708984","8.963436126708984","8.963436126708984","2294","2294","2294","9.248761177062988","9.248761177062988","9.248761177062988","2294","2294","2294","9.101347923278809","9.101347923278809","9.101347923278809","2294","2294","2294","8.997819900512695","8.997819900512695","8.997819900512695","2294","2294","2294","9.479803085327148","9.479803085327148","9.479803085327148"
"45","2345","2345","2345","8.976716041564941","8.976716041564941","8.976716041564941","2345","2345","2345","9.24906063079834","9.24906063079834","9.24906063079834","2345","2345","2345","9.142999649047852","9.142999649047852","9.142999649047852","2345","2345","2345","8.956937789916992","8.956937789916992","8.956937789916992","2345","2345","2345","9.448546409606934","9.448546409606934","9.448546409606934"
"46","2396","2396","2396","8.960041046142578","8.960041046142578","8.960041046142578","2396","2396","2396","9.22305679321289","9.22305679321289","9.22305679321289","2396","2396","2396","9.08011245727539","9.08011245727539","9.08011245727539","2396","2396","2396","8.944167137145996","8.944167137145996","8.944167137145996","2396","2396","2396","9.437592506408691","9.437592506408691","9.437592506408691"
"47","2447","2447","2447","8.959819793701172","8.959819793701172","8.959819793701172","2447","2447","2447","9.242475509643555","9.242475509643555","9.242475509643555","2447","2447","2447","9.108550071716309","9.108550071716309","9.108550071716309","2447","2447","2447","8.978643417358398","8.978643417358398","8.978643417358398","2447","2447","2447","9.472850799560547","9.472850799560547","9.472850799560547"
"48","2498","2498","2498","8.953448295593262","8.953448295593262","8.953448295593262","2498","2498","2498","9.274460792541504","9.274460792541504","9.274460792541504","2498","2498","2498","9.097564697265625","9.097564697265625","9.097564697265625","2498","2498","2498","8.985819816589355","8.985819816589355","8.985819816589355","2498","2498","2498","9.452181816101074","9.452181816101074","9.452181816101074"
"49","2549","2549","2549","8.961929321289062","8.961929321289062","8.961929321289062","2549","2549","2549","9.180100440979004","9.180100440979004","9.180100440979004","2549","2549","2549","9.093021392822266","9.093021392822266","9.093021392822266","2549","2549","2549","8.986480712890625","8.986480712890625","8.986480712890625","2549","2549","2549","9.451757431030273","9.451757431030273","9.451757431030273"
"50","2600","2600","2600","8.950586318969727","8.950586318969727","8.950586318969727","2600","2600","2600","9.181479454040527","9.181479454040527","9.181479454040527","2600","2600","2600","9.0834379196167","9.0834379196167","9.0834379196167","2600","2600","2600","8.950905799865723","8.950905799865723","8.950905799865723","2600","2600","2600","9.491656303405762","9.491656303405762","9.491656303405762"
